,Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
49,,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,12,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,1,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,10,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,,12,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,,1,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56,,10,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57,,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
58,,12,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59,,1,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60,,10,2019,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
61,,11,2019,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,,12,2019,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
63,,1,2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
64,,10,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,,11,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
66,,12,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
67,,1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,,10,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,,11,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,,12,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,,1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,,10,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,,11,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,,12,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,,1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
76,,10,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
77,,11,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,,12,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
79,,1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
80,,10,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
81,,11,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
82,,12,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,,1,2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
84,,10,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,,11,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,,12,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
87,,1,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,,10,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,,11,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,,12,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,,1,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,,10,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,,11,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
94,,12,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
95,,1,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
96,,10,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
97,,11,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
98,,12,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
99,,1,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100,,10,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101,,11,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
102,,12,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,,1,2020,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
104,,10,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
105,,11,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,,12,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
107,,1,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
108,,10,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,,11,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,,12,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,,1,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,,10,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
113,,11,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,,12,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
115,,1,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
116,,10,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
117,,11,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
118,,12,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
119,,1,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
120,,10,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,,11,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,,12,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
